NUM_BODIES 
9

NUM_STEPS
365

NAMES
Sun
Mercury
Venus
Earth
Mars
Jupiter
Saturn
Uranus
Neptune

MASSES
1.989e+30
3.3011e+23
4.8675e+24
5.972e+24
6.4171e+23
1.89819e+27
5.6834e+26
8.6813e+25
1.02413e+26
 
RADII
695700000.0
2439700
6051800
6371000.0
3389500
71492000
54364000
24973000
24341000

TRAJECTORIES
15, 0, 0, -5305966469.473329, -54034002016.619026, -97962679797.33655, -44340263916.06171, -141967201744.09952, -38811523418.44946, -204012184185.1816, -34199456187.59462, -740316634287.5288, -17779492262.455738, -1352488996625.3223, -13193081649.667257, -2741285145577.8574, -9214543356.193422, -4444444348941.675, -7127996978.947757
16, 0, 0, -1081181597.398129, -55144352580.18201, -96674137989.84619, -47099029996.55533, -141265626563.27414, -41332061699.11154, -203653981671.01328, -36458232965.57048, -740288616688.2067, -18964552540.303, -1352480591799.6228, -14072591276.382486, -2741283098970.956, -9828843800.585274, -4444443570351.61, -7603196333.561556
17, 0, 0, 3150191474.411084, -55928705551.59019, -95308462852.58415, -49820217293.46803, -140520092993.98373, -43839738492.03678, -203272960259.01605, -38712924714.862335, -740258791948.0072, -20149566523.211693, -1352471644749.3792, -14952095261.239079, -2741280920325.531, -10443143771.554287, -4444442741529.981, -8078395602.243236
18, 0, 0, 7363968863.525707, -56397434081.769, -93866759290.98193, -52501662646.00271, -139730843628.41177, -46333776779.23386, -202869174161.29578, -40963280998.37058, -740227160150.5803, -21334531318.703762, -1352462155478.7676, -15831593251.640604, -2741278609641.7, -11057443239.511719, -4444441862476.797, -8553594779.6220455
19, 0, 0, 11538208787.050108, -56562071216.09509, -92350193242.16261, -55141235927.89166, -138898135157.31378, -48813404366.70876, -202442680773.34705, -43209052256.82275, -740193721384.6431, -22519444034.474884, -1352452123992.2178, -16711084894.99422, -2741276166919.5894, -11671742174.86886, -4444440933192.066, -9028793860.327236
20, 0, 0, 15653098401.82472, -56434996671.51535, -90759990654.96152, -57736841789.15891, -138022238265.0877, -51277854152.71204, -201993540656.29694, -45449989857.807335, -740158475743.9794, -23704301778.404663, -1352441550294.4124, -17590569838.710888, -2741273592159.3315, -12286040548.037037, -4444439953675.802, -9503992838.988058
21, 0, 0, 19690819172.75929, -56029175838.662544, -89097436419.18839, -60286421364.5329, -137103437519.31512, -53726364393.38586, -201521817518.21225, -47685846144.37135, -740121423327.4393, -24889101658.566853, -1352430434390.287, -18470047730.205574, -2741270885361.0664, -12900338329.427612, -4444438923928.014, -9979191710.233763
22, 0, 0, 23635400766.27549, -55357945927.04009, -87363873245.32549, -62787953946.97634, -136142031254.84827, -56158178965.68283, -201027578194.4832, -49916374483.15994, -740082564238.939, -26073840783.239555, -1352418776285.031, -19349518216.897465, -2741268046524.941, -13514635489.451988, -4444437843948.715, -10454390468.693604
23, 0, 0, 27472570974.773598, -54434843639.95122, -85560700495.90503, -65239458624.84837, -135138331452.5219, -58572547627.43115, -200510892627.29663, -52141329312.07699, -740041898587.4598, -27258516260.91543, -1352406575984.086, -20228980946.210186, -2741265075651.1094, -14128931998.52161, -4444436713737.917, -10929589108.996838
24, 0, 0, 31189607103.713146, -53273468732.365105, -83689372969.85594, -67638995881.264145, -134092663612.57193, -60968726274.42289, -199971833844.21277, -54360466187.44609, -739999426487.048, -28443125200.311897, -1352393833493.1467, -21108435565.572, -2741261972739.733, -14743227827.047966, -4444435533295.635, -11404787625.77272
25, 0, 0, 34775192585.913376, -51887378086.683815, -81751399641.15459, -69984669154.26865, -133005366622.84605, -63345977194.40549, -199410477935.8593, -56573541830.65159, -739955148056.8138, -29627664710.381355, -1352380548818.1616, -21987881722.416027, -2741258737790.98, -15357522945.442587, -4444434302621.881, -11879986013.65051
